ID,Name,Type,Longitude ,Latitude ,Evacuation_Centers
140,level_crossing,level_crossing,80.1002544,6.1393047,
141,Kuleegoda Temple,place_of_worship,80.0613044,6.2160001,Yes
142,Sahana Restaurant,restaurant,80.2219431,6.0641445,
143,Sahana Cool Spot,restaurant,80.220023,6.0355497,
144,place_of_worship,place_of_worship,80.2197545,6.0354983,Yes
145,Lady Hill,hotel,80.2186845,6.0385273,
146,Dutch House,hotel,80.2185394,6.0381348,
147,Sun House,hotel,80.219074,6.0378335,
148,traffic_signals,traffic_signals,79.866803,6.9116603,
149,level_crossing,level_crossing,80.0550803,6.2389652,
150,Tsunami Honganji Vihara,place_of_worship,80.0917754,6.1630477,Yes
151,Spaghetti & Co,restaurant,80.1100638,6.1248989,
152,Sahana,restaurant,80.2374945,6.033327,
153,Overseas School of Colombo,school,79.9290055,6.8926539,Yes
154,Nugegoda,traffic_signals,79.8914129,6.8734906,
155, ,mini_roundabout,79.9352953,6.8763506,
156,Galle Public Bus Station,bus_station,80.2157301,6.0329051,
157,crossing,crossing,80.0657415,6.7171989,
158,level_crossing,level_crossing,79.9191645,6.8526523,
159,Kahanda Kanda,hotel,80.3411254,6.0210488,
160,traffic_signals,traffic_signals,79.8768027,6.8855683,
161, ,mini_roundabout,79.9016592,6.8409616,
162,Joseph Fraser Memorial Hospital,hospital,79.8649782,6.895289,Yes
163,traffic_signals,traffic_signals,79.876947,6.8942055,
164,traffic_signals,traffic_signals,79.8769239,6.8923474,
165,level_crossing,level_crossing,79.8779914,6.926983,
166,traffic_signals,traffic_signals,79.8783014,6.943837,
167,traffic_signals,traffic_signals,79.8786654,6.9503167,
168,traffic_signals,traffic_signals,79.8630494,6.86604,
169,Cinnamon Lakeside Hotel,hotel,79.8488072,6.9288806,
170,place_of_worship,place_of_worship,80.2181827,6.0515446,Yes
171,place_of_worship,place_of_worship,80.2216378,6.0573005,Yes
172,Didiswatta,place_of_worship,80.2214569,6.0548541,Yes
173,crossing,crossing,80.0723331,6.7200919,
174,Oasis General Hospital,hospital,79.8794569,6.8951426,Yes
175,Waters Edge,hotel,79.9118789,6.9056506,
176,JAIC Hilton Residencies,hotel,79.8562903,6.9209164,
177,Primary Level net - Fundamental Bench Mark : Hor,survey_point,80.0622699,6.714329,
178, ,tower,79.9407399,6.7954561,
179,Wathara Hospital,hospital,79.9734516,6.7856019,Yes
180, ,fuel,79.9772792,6.784671,
181,police,police,79.9861254,6.7830852,
182,Lanka IOC,fuel,80.062695,6.716905,
183, ,fuel,80.0590364,6.7179912,
184,Lanka Filling Station,fuel,80.0594958,6.7186855,
185,Horana,police,80.069091,6.7149037,
186,Munagama sub post office,post_box,80.0682161,6.7183405,
187,Thakshila Central College,school,80.0619358,6.7120268,Yes
188,Sri Jayawardanepura teaching hospital,hospital,79.9261518,6.8683337,Yes
189,Cargils Food City,supermarket,80.0597197,6.7175146,
190,Telecom Tower (SLT),tower,80.0616589,6.715095,
191,Medi Help hospital;Medihelp Hospital,clinic;hospital,80.0593852,6.7179741,Yes
192,Dulmini Cinema,cinema,80.0612963,6.716732,
193,"Bank of Ceylon\, Horana",bank,80.062687,6.7157748,
194,"Peoples Bank\, Horana",bank,80.0633169,6.7146178,
195,"Sampath Bank\, Horana",bank,80.062798,6.7173822,
196,"Comercial Bank\, Horana",bank,80.0624117,6.7175101,
197,National Savings Bank,bank,80.0658148,6.717526,
198,traffic_signals,traffic_signals,79.8646958,6.9139377,
199,traffic_signals,traffic_signals,79.8644115,6.9117899,
200,place_of_worship,place_of_worship,80.2083534,6.0578728,Yes
201,Sri Sadhatissaramaya,place_of_worship,80.2154199,6.0578826,Yes
202,traffic_signals,traffic_signals,79.9227201,6.8017761,
203,Thakshila Primary School,school,80.0615083,6.7142134,Yes
204,University of Sri Jayewardenepura,university,79.9059902,6.8536201,
205,Cargills Food City,supermarket,79.8558071,6.9202408,
206,crossing,crossing,80.0749138,6.7213225,
207,CTB  Depot - Horana,bus_station,80.0751124,6.7219363,
208, ,parking,79.8912301,6.8727682,
209,Commercial Bank of Ceylon PLC,bank,79.8849608,6.8663027,
210, ,fuel,79.9311227,6.7967786,
211, ,fuel,79.9270794,6.798289,
212, ,fuel,79.9226617,6.8021346,
213, ,fuel,79.8982001,6.8481442,
214, ,fuel,79.8850624,6.8660166,
215, ,fuel,79.8876451,6.8826924,
216,police,police,79.9225866,6.8022413,
217,Somaweera Chandrasiri Kanishta Vidyalaya,school,79.9230047,6.8033559,Yes
218,National Savings Bank,bank,79.9242797,6.8010035,
219,Seylan Bank,bank,80.064409,6.7163831,
220,Pizza Hut Nugegoda,fast_food,79.8902205,6.8691129,
221,Sampath Bank Battaramulla,bank,79.9164296,6.9019577,
222,Prajapathee Balika Vidyalaya,school,80.0804785,6.7160681,Yes
223,CPC,fuel,80.0021452,6.8409794,
224,Nalanda Privena,place_of_worship,80.0821652,6.7629819,Yes
225,Bhodirukkaramaya,place_of_worship,80.077285,6.7225666,Yes
226, ,grave_yard,80.0766773,6.7203482,
227,Sripalee Vidyalaya,school,80.068539,6.707453,Yes
228,Sripalee primary,school,80.073846,6.700566,Yes
229,Thakshila primary,school,80.0705634,6.7139662,Yes
230,Rajakeeya Vidyalaya,school,80.0693193,6.7168268,Yes
231,Kesbewa Rest house,guest_house,79.9389592,6.7927235,
232, ,parking,79.9267685,6.86705,
233,crossing,crossing,79.9745168,6.7064058,
234,crossing,crossing,80.695776,7.9264513,
235, ,mini_roundabout,80.7554367,8.039843,
236, ,parking,80.7573674,7.9555599,
237,Vil Uyana,hotel,80.7205407,7.9295562,
238, ,bus_stop,80.5964491,7.2673862,
239,McDonalds,restaurant,79.8886581,6.9099433,
240,Heritance Kandalama,hotel,80.7077384,7.8712851,
241,Golden Temple,place_of_worship,80.6514087,7.8555093,Yes
242,Dambula Rock Temple,place_of_worship,80.6485929,7.8567206,Yes
243, ,mini_roundabout,80.6234791,7.4660274,
244, ,parking,80.9982291,7.9425019,
245,Minneriya National Park,information,80.823612,8.0327164,
246,Dambula,post_office,80.6516125,7.8629873,
247,Dambula Bus Station,bus_station,80.6512657,7.8705117,
248,Matale Police Station,police,80.6262053,7.4626336,
249,Cafe Lavinia,cafe,79.8572283,6.8943284,
250,Kingston College International,school,79.8624412,6.87985,Yes
251,St. Peter's College,school,79.8597474,6.8804405,Yes
